Negros Oriental,Amlan (Ayuquitan),Bio-Os,3639
Negros Oriental,Amlan (Ayuquitan),Jantianon,2993
Negros Oriental,Amlan (Ayuquitan),Jugno,3929
Negros Oriental,Amlan (Ayuquitan),Mag-Abo,1935
Negros Oriental,Amlan (Ayuquitan),Poblacion,1531
Negros Oriental,Amlan (Ayuquitan),Silab,3606
Negros Oriental,Amlan (Ayuquitan),Tambojangin,2317
Negros Oriental,Amlan (Ayuquitan),Tandayag,3674
Negros Oriental,Ayungon,Amdus,1160
Negros Oriental,Ayungon,Jandalamanon,1148
Negros Oriental,Ayungon,Anibong,2047
Negros Oriental,Ayungon,Atabay,1274
Negros Oriental,Ayungon,Awa-An,2870
Negros Oriental,Ayungon,Ban-Ban,2603
Negros Oriental,Ayungon,Calagcalag,1764
Negros Oriental,Ayungon,Candana-Ay,1349
Negros Oriental,Ayungon,Carol-An,2928
Negros Oriental,Ayungon,Gomentoc,2159
Negros Oriental,Ayungon,Inacban,1376
Negros Oriental,Ayungon,Iniban,1390
Negros Oriental,Ayungon,Kilaban,819
Negros Oriental,Ayungon,Lamigan,897
Negros Oriental,Ayungon,Maaslum,1721
Negros Oriental,Ayungon,Mabato,3385
Negros Oriental,Ayungon,Manogtong,1500
Negros Oriental,Ayungon,Nabhang,1189
Negros Oriental,Ayungon,Tambo,3940
Negros Oriental,Ayungon,Tampocon I,2061
Negros Oriental,Ayungon,Tampocon Ii,2165
Negros Oriental,Ayungon,Tibyawan,1808
Negros Oriental,Ayungon,Tiguib,2725
Negros Oriental,Ayungon,Poblacion,2025
Negros Oriental,Bacong,Balayagmanok,1381
Negros Oriental,Bacong,Banilad,4573
Negros Oriental,Bacong,Buntis,3096
Negros Oriental,Bacong,Buntod,1895
Negros Oriental,Bacong,Calangag,690
Negros Oriental,Bacong,Combado,2587
Negros Oriental,Bacong,Doldol,1022
Negros Oriental,Bacong,Isugan,1645
Negros Oriental,Bacong,Liptong,852
Negros Oriental,Bacong,Lutao,1181
Negros Oriental,Bacong,Magsuhot,359
Negros Oriental,Bacong,Malabago,329
